,DISTNAME,SoilType,SoilPh
235,BUNDI,6,7
236,TONK,16,6
237,SAWAI_MADHOPUR,16,7
238,BHARATPUR,16,5
239,KOTA,6,7
240,JHALAWAR,6,7
241,DUNGARPUR,19,6
242,BANSWARA,19,7
243,BALESHWAR,18,4
244,BALANGIR,19,4
245,CUTTACK,18,7
246,DHENKANAL,19,4
247,GANJAM,19,4
248,KALAHANDI,19,4
249,KENDUJHAR,19,4
250,KORAPUT,19,4
251,MAYURBHANJ,19,4
252,PHULABANI,19,4
253,PURI,19,4
254,SAMBALPUR,19,4
255,SUNDARGARH,19,4
256,KOCH-BIHAR,16,5
257,JALPAIGURI,16,4
258,DARJILING,13,4
259,WEST_DINAJPUR,19,6
260,MALDAH,19,7
261,MURSHIDABAD,19,5
262,NADIA,19,6
263,24_PARGANAS,16,8
264,HAORA,16,6
265,HUGLI,16,6
266,MEDINIPUR,16,4
267,BANKURA,19,5
268,PURULIYA,20,5
269,BARDDHAMAN,19,5
270,BIRBHUM,19,5
