Crop,Crop_Year,Area,Production
Cardamom,2012,60886.0,11800.0
Cardamom,2013,62446.0,15882.0
Cardamom,2014,57984.0,17429.0
Carrot,2002,2630.0,2085.0
Carrot,2003,2242.0,1981.0
Cashewnut,1997,178834.0,93512.0
Cashewnut,1998,169743.0,66498.0
Cashewnut,1999,165445.0,86065.0
Cashewnut,2000,326562.0,117940.0
Cashewnut,2001,238079.0,104955.0
Cashewnut,2002,342328.0,128810.0
Cashewnut,2003,347299.5,151565.64
Cashewnut,2004,392434.0,164572.0
Cashewnut,2005,388305.5,179427.02000000002
Cashewnut,2006,375398.0,174742.13
Cashewnut,2007,215302.0,132249.0
Cashewnut,2008,364787.0,177692.22000000003
Cashewnut,2009,350774.0,176225.0
Cashewnut,2010,255319.75000000003,130696.53
Cashewnut,2011,361004.20999999996,167522.69
Cashewnut,2012,246463.0,138809.0
Cashewnut,2013,514744.0,237175.0
Cashewnut,2014,293700.0,162723.0
Cashewnut Processed,2002,57461.0,8121.0
Cashewnut Raw,2002,146009.0,98462.0
Castor seed,1997,582573.0,784499.0
Castor seed,1998,674400.0,837359.0
Castor seed,1999,788993.0,768396.0
Castor seed,2000,1090322.0,888974.3999999999
Castor seed,2001,690223.0,644482.01
Castor seed,2002,582515.0,427661.01
Castor seed,2003,691831.0,791304.0
Castor seed,2004,761829.0,804809.0
Castor seed,2005,866800.0,943575.0
Castor seed,2006,667053.0,801817.0
Castor seed,2007,717429.0,1044589.7000000001
Castor seed,2008,780678.0,1153479.0
Castor seed,2009,733883.0,998495.0
Castor seed,2010,889033.0,1374614.0
Castor seed,2011,1167829.0,1877712.0
Castor seed,2012,907208.0,1561749.5299999998
Castor seed,2013,279970.0,179516.0
Castor seed,2014,129310.0,69027.0
Cauliflower,2002,7831.0,8775.0
Cauliflower,2003,8881.0,9658.0
Citrus Fruit,2002,93685.0,382994.0
Citrus Fruit,2003,80159.0,496573.0
Coconut ,1997,1064229.0,6344142.0
Coconut ,1998,1237644.0,5283860454.4
Coconut ,1999,1279564.0,5859817269.7
Coconut ,2000,1437422.0,6880408907.8
Coconut ,2001,1454159.0,6881286541.800001
Coconut ,2002,1799396.0,7150889366.5
Coconut ,2003,1804708.74,7355742937.399999
Coconut ,2004,1839782.4,7663983741.690001
Coconut ,2005,1842178.02,7453185484.0
Coconut ,2006,1847003.0899999999,8092567153.0
Coconut ,2007,1682671.0,6299914140.0
Coconut ,2008,1752448.0,7039783510.0
Coconut ,2009,1735991.0,7041992679.0
Coconut ,2010,1255481.13,5596200360.0
Coconut ,2011,1810864.9400000002,13594217922.0
Coconut ,2012,1360932.0,7494435081.0
Coconut ,2013,1815921.0,12219187977.0
Coconut ,2014,1361285.0,8067811549.0
Coffee,2001,84795.0,66690.0
Coffee,2002,83113.0,63322.0
Colocosia,2013,5240.0,49840.0
Cond-spcs other,1999,2767.0,2260.4
Coriander,1997,57930.0,13169.0
Coriander,1998,282419.0,199226.0
Coriander,1999,332855.0,209609.0
Coriander,2000,346681.0,228107.0
Coriander,2001,396757.0,304873.0
Coriander,2002,277552.0,166344.11000000002
Coriander,2003,475769.0,383956.01
Coriander,2004,362921.0,253312.0
Coriander,2005,207063.0,168992.0
Coriander,2006,305794.0,225518.0
Coriander,2007,381979.0,223921.1
Coriander,2008,450818.0,362266.0
Coriander,2009,452712.0,386824.0
Coriander,2010,401461.0,304370.0
Coriander,2011,195017.0,89127.0
Coriander,2012,159516.0,95047.0
Coriander,2013,182039.0,113840.0
Coriander,2014,55217.0,26616.0
Cotton(lint),1997,5230253.0,10443524.0
Cotton(lint),1998,9331489.0,11167120.0
Cotton(lint),1999,8717476.0,10641844.0
Cotton(lint),2000,8550604.0,9154973.0
Cotton(lint),2001,9038620.0,9835595.0
Cotton(lint),2002,7632933.0,8561894.2
Cotton(lint),2003,7550673.0,13623687.0
Cotton(lint),2004,8748496.0,16974350.0
Cotton(lint),2005,8669295.0,18388534.5
Cotton(lint),2006,9060875.0,20890976.0
Cotton(lint),2007,6188044.0,17294926.0
Cotton(lint),2008,9337428.0,20777198.0
Cotton(lint),2009,9984615.0,20898065.0
Cotton(lint),2010,10929723.0,27317346.0
Cotton(lint),2011,11685196.0,27366253.0
Cotton(lint),2012,9530632.0,19767509.0
Cotton(lint),2013,8395561.0,20314588.0
Cotton(lint),2014,7986162.0,13581633.0
Cowpea(Lobia),2009,3672.0,1302.0
Cowpea(Lobia),2010,100769.0,44207.0
Cowpea(Lobia),2011,108668.0,56644.0
Cowpea(Lobia),2012,91754.0,31974.0
Cowpea(Lobia),2013,106725.0,50599.0
Cowpea(Lobia),2014,99184.0,55912.0
Cucumber,2002,5490.0,0.0
Cucumber,2003,7079.0,0.0
Drum Stick,2002,26747.0,23052.0
Drum Stick,2003,27447.0,23101.0
Drum Stick,2012,15465.0,14877.0
Drum Stick,2013,16356.0,15757.0
Drum Stick,2014,494.0,334.0
Dry chillies,1997,536530.0,618764.0
Dry chillies,1998,610821.0,857038.0
Dry chillies,1999,800194.0,932081.0
Dry chillies,2000,735060.0,910118.0
Dry chillies,2001,673963.0,932870.0
Dry chillies,2002,700259.0,812634.71
Dry chillies,2003,659096.0,1168856.0
Dry chillies,2004,678980.0,1114208.0
Dry chillies,2005,478097.7,805665.7
Dry chillies,2006,584710.3200000001,1103407.0
Dry chillies,2007,578892.0,1135128.5
Dry chillies,2008,527856.0,1120759.0
Dry chillies,2009,396675.0,1058262.0
Dry chillies,2010,430337.0,958872.0
Dry chillies,2011,514414.0,1073377.0
Dry chillies,2012,304671.0,775380.0
Dry chillies,2013,456283.0,1181768.0
Dry chillies,2014,349000.0,1153065.3
Dry ginger,1997,12119.0,69027.0
Dry ginger,1998,40244.0,210103.0
Dry ginger,1999,59645.0,285932.0
Dry ginger,2000,69235.0,344098.0
Dry ginger,2001,72884.0,363052.0
Dry ginger,2002,73333.3,358976.1
Dry ginger,2003,69386.0,331064.6
Dry ginger,2004,76220.0,385722.0
Dry ginger,2005,68384.0,513899.1
Dry ginger,2006,77557.56,479300.0
Dry ginger,2007,71660.0,605306.7
Dry ginger,2008,87155.0,1166719.0
Dry ginger,2009,97500.0,1715891.0
Dry ginger,2010,101069.93000000001,481720.36000000004
Dry ginger,2011,68527.59000000001,287321.36
Dry ginger,2012,51527.0,691246.0
Dry ginger,2013,56182.0,708261.0
