districtid,timeid,neighborhoodzscore,statezscore
352,1,-0.43,0.00
353,1,-0.94,-0.52
354,1,1.19,-0.17
356,1,0.08,-0.19
357,1,-0.21,0.06
358,1,-0.15,-0.30
359,1,-0.12,-0.34
360,1,-0.29,0.61
361,1,17.18,22.22
362,1,-1.40,-1.00
363,1,-0.43,0.41
364,1,5.58,3.97
365,1,23.01,7.33
366,1,19.46,1.35
367,1,-0.80,-0.39
368,1,-0.27,-0.20
369,1,3.56,3.73
370,1,-1.11,-0.72
371,1,0.56,0.08
372,1,1.05,1.93
373,1,-0.24,-0.46
374,1,1.51,0.14
375,1,-0.36,-0.45
376,1,-0.59,-0.43
377,1,0.50,-0.35
378,1,15.92,1.37
379,1,0.61,0.05
380,1,-1.50,-0.68
381,1,-0.82,-0.64
382,1,-0.70,-0.30
383,1,-0.23,0.01
384,1,-0.74,-0.34
385,1,-0.18,0.11
386,1,-0.83,-0.37
387,1,-0.62,-0.41
388,1,-0.84,-0.25
389,1,-0.65,-0.58
390,1,0.14,-0.29
391,1,8.74,0.31
392,1,-1.85,-0.72
393,1,-1.73,-0.53
394,1,-1.05,-0.50
395,1,-1.42,-0.76
396,1,-0.50,-0.68
397,1,6.03,4.14
398,1,-0.56,-0.25
399,1,3.73,0.41
400,1,-0.04,-0.16
404,1,-0.22,-0.34
405,1,-1.47,-0.75
406,1,-0.78,-0.59
407,1,-0.68,-0.49
408,1,0.99,0.15
409,1,-0.43,-0.54
410,1,-1.49,-0.70
411,1,-0.24,-0.24
412,1,-0.62,-0.20
413,1,-1.31,-0.61
414,1,-0.92,-0.63
415,1,0.03,0.37
416,1,15.67,16.89
417,1,-0.38,0.28
418,1,-0.41,-0.36
419,1,-0.28,-0.20
420,1,0.09,1.07
421,1,-0.39,-0.40
422,1,0.84,-0.37
423,1,-0.45,-0.51
424,1,19.49,3.31
425,1,-0.73,-0.09
426,1,-0.61,-0.49
427,1,-4.06,-0.52
428,1,-0.80,-0.67
429,1,-0.77,-0.35
430,1,-0.11,0.00
431,1,-0.40,-0.25
432,1,1.91,0.14
433,1,0.85,0.10
434,1,-1.27,-0.46
436,1,-0.58,-0.58
437,1,0.50,-0.51
438,1,0.51,0.29
439,1,-0.41,-0.34
440,1,-0.55,-0.57
441,1,-0.81,-0.41
442,1,-0.66,-0.37
443,1,-1.02,-0.45
444,1,-0.55,-0.05
445,1,-0.34,-0.15
446,1,-0.46,0.17
447,1,-0.49,-0.30
448,1,1.65,4.94
449,1,-0.82,-0.52
450,1,-0.56,-0.51
451,1,-0.75,-1.17
452,1,-1.45,-0.67
455,1,-0.64,-0.85
456,1,-0.59,-0.35
457,1,-0.88,-0.15
458,1,0.47,1.57
459,1,-1.18,-0.39
460,1,-0.52,-0.25
461,1,-0.70,0.34
462,1,2.51,0.02
463,1,1.53,4.72
464,1,-0.76,-0.18
465,1,-1.11,-0.42
466,1,-1.09,-0.39
467,1,-0.19,-0.09
468,1,-0.44,-0.01
469,1,-0.46,-0.19
470,1,-0.39,-0.35
471,1,12.23,1.13
472,1,-0.04,-0.25
473,1,0.54,0.21
474,1,-0.18,-1.83
475,1,-0.51,-0.43
476,1,0.62,-0.06
477,1,-0.26,-0.69
478,1,-0.79,0.08
479,1,1.86,0.94
480,1,-0.67,-0.34
481,1,-0.44,0.02
482,1,-0.00,-0.24
483,1,-1.24,-1.44
484,1,-0.14,-0.21
485,1,-0.21,-0.20
486,1,-0.57,-0.59
487,1,0.27,-0.44
488,1,-0.36,-0.43
489,1,1.74,-0.34
490,1,-0.69,-0.46
491,1,1.11,0.00
492,1,-1.81,-0.46
493,1,-0.64,-0.58
494,1,-0.49,-0.18
495,1,-0.55,-0.50
496,1,-0.51,-0.41
497,1,-0.36,-0.26
498,1,-0.51,-0.45
499,1,31.97,10.19
500,1,3.91,4.74
501,1,-0.19,0.01
503,1,-1.13,-0.46
504,1,4.29,0.36
505,1,1.42,0.12
506,1,-0.15,-0.25
507,1,-0.19,-0.21
508,1,-0.49,-0.05
509,1,-0.52,-0.25
510,1,-3.28,-0.70
511,1,-0.46,-0.40
512,1,-0.94,-0.36
513,1,-0.63,-0.69
514,1,0.00,-0.42
515,1,-1.19,-0.43
516,1,2.90,1.23
517,1,1.28,-0.25
518,1,-0.67,-0.33
519,1,-1.29,-0.45
520,1,0.96,-0.22
521,1,-0.54,-0.32
522,1,-0.48,-0.43
523,1,-0.52,-0.18
525,1,-1.50,-0.76
526,1,0.03,-0.21
527,1,-1.10,-0.41
528,1,0.52,0.13
529,1,-1.00,-0.30
530,1,-0.22,0.41
531,1,0.63,0.34
532,1,-0.38,-0.19
533,1,-0.47,-0.40
534,1,-0.68,-0.44
535,1,-0.52,-0.64
536,1,0.67,-0.15
537,1,2.65,0.53
538,1,-0.91,-0.30
539,1,0.01,0.30
540,1,-0.50,-0.35
541,1,-0.59,-0.37
542,1,0.00,3.39
543,1,-0.53,-0.39
544,1,-0.38,-0.42
545,1,0.21,-0.39
546,1,-0.34,-0.22
547,1,2.33,0.80
548,1,17.54,0.54
549,1,0.01,-0.59
550,1,-0.54,-0.32
551,1,3.35,0.36
552,1,-0.62,-0.40
553,1,-0.92,-0.29
554,1,-0.77,-0.06
555,1,16.84,0.27
556,1,0.97,0.76
557,1,-0.15,0.28
558,1,-0.55,-0.29
559,1,-0.43,0.00
560,1,-0.84,-0.43
561,1,-0.65,-0.04
562,1,2.00,-0.36
563,1,0.32,-0.49
564,1,-0.97,-0.41
565,1,-0.35,-0.34
566,1,-0.63,-0.36
567,1,-0.48,-0.34
568,1,0.40,0.45
569,1,-0.64,-0.32
570,1,-0.38,-0.47
571,1,-0.63,-0.15
572,1,0.20,-0.02
573,1,-0.80,-0.46
574,1,-0.74,-0.37
575,1,-0.93,-0.47
576,1,0.18,-0.04
577,1,-1.22,-0.84
578,1,1.38,3.53
579,1,-0.54,-0.46
580,1,0.44,0.00
581,1,0.64,-0.41
582,1,-0.81,-0.72
583,1,-1.09,-0.76
584,1,-0.74,-0.40
585,1,-1.06,-0.55
587,1,-0.55,-0.18
588,1,-0.26,-0.09
589,1,-0.29,0.07
590,1,0.15,0.49
591,1,-1.06,-0.52
592,1,-0.24,-0.13
593,1,-0.22,-0.21
594,1,1.11,0.31
595,1,-2.21,-0.43
596,1,2.41,11.16
597,1,-0.66,-0.49
598,1,1.78,-0.33
599,1,-0.14,-0.21
600,1,-1.33,-0.29
601,1,-0.57,-0.45
602,1,0.12,-0.50
603,1,3.13,1.68
604,1,13.66,13.52
605,1,-0.78,-0.59
606,1,-0.07,-0.18
607,1,-1.70,-0.48
608,1,-0.60,-0.10
609,1,-0.85,-0.63
610,1,-0.50,-0.92
611,1,-0.99,-0.21
612,1,-0.23,-0.77
614,1,-0.17,-0.80
615,1,-1.24,-0.71
616,1,-0.32,-0.31
617,1,8.66,1.88
618,1,0.92,25.08
619,1,0.25,-0.25
620,1,-0.38,0.33
621,1,-1.22,-0.78
622,1,2.80,5.13
623,1,-0.62,-0.45
624,1,-0.40,-0.06
625,1,-1.01,0.07
626,1,0.61,0.19
627,1,-0.69,-0.59
629,1,-0.41,-0.42
630,1,-0.17,-0.06
631,1,-0.60,0.22
632,1,0.50,0.30
634,1,9.07,14.51
635,1,-0.43,-0.25
636,1,-1.07,-0.25
