timeid,method,spot,districtid1,districtid2,districtid3,disxtrictid4,districtid5
1,neighborhood,hot,191,104,499,739,365
1,state,hot,618,361,228,416,634
1,neighborhood,cold,783,727,782,427,510
1,state,cold,282,474,483,801,451
