Araria(128),Kishanganj(210)
Araria(128),Madhepura(503)
Araria(128),Supaul(737)
Aravalli(129),Dungarpur(285)
Aravalli(129),Udaipur(771)
Aravalli(129),Sabarkantha(663)
Aravalli(129),Gandhinagar(313)
Aravalli(129),Mahisagar(512)
Aravalli(129),Kheda(447)
Ariyalur(130),Tiruchirappalli(761)
Ariyalur(130),Cuddalore(243)
Ariyalur(130),Thanjavur(750)
Ariyalur(130),Perambalur(607)
Arwal(131),Aurangabad(133)
Arwal(131),Bhojpur(190)
Arwal(131),Gaya(320)
Arwal(131),Patna(604)
Arwal(131),Jehanabad(387)
Arwal(131),Rohtas(658)
Ashoknagar(132),Shivpuri(698)
Ashoknagar(132),Guna(334)
Ashoknagar(132),Vidisha(795)
Ashoknagar(132),Lalitpur(487)
Ashoknagar(132),Sagar(664)
Auraiya(133),Kannauj(421)
Auraiya(133),Etawah(299)
Auraiya(133),Kanpur Dehat(423)
Auraiya(133),Jalaun(373)
Aurangabad(133),Arwal(131)
Aurangabad(133),Gaya(320)
Aurangabad(133),Palamu(588)
Aurangabad(133),Rohtas(658)
Aurangabad(134),Jalna(375)
Aurangabad(134),Nashik(568)
Aurangabad(134),Jalgaon(374)
Aurangabad(134),Ahmednagar(105)
Aurangabad(134),Beed(172)
Ayodhya(136),Basti(170)
Ayodhya(136),Amethi(117)
Ayodhya(136),Ambedkar Nagar(116)
Ayodhya(136),Barabanki(160)
Ayodhya(136),Sultanpur(735)
Ayodhya(136),Gonda(329)
Azamgarh(137),Mau(527)
Azamgarh(137),Ghazipur(322)
Azamgarh(137),Jaunpur(385)
Azamgarh(137),Gorakhpur(332)
Azamgarh(137),Ambedkar Nagar(116)
Azamgarh(137),Sultanpur(735)
BAGALKOTE(138),Raichur(630)
BAGALKOTE(138),Bijapur(193)
BAGALKOTE(138),Gadag(309)
BAGALKOTE(138),Budgam(206)
BAGALKOTE(138),Koppal(467)
Bageshwar(140),Chamoli(216)
Bageshwar(140),Pithoragarh(612)
Bageshwar(140),Almora(113)
Baghpat(141),Panipat(594)
Baghpat(141),Shamli(691)
Baghpat(141),Muzaffarnagar(546)
Baghpat(141),Sonipat(721)
Baghpat(141),Ghaziabad(321)
Baghpat(141),Ghaziabad(321)
Baghpat(141),Meerut(531)
Bahraich(142),Shrawasti(700)
Bahraich(142),Sitapur(714)
Bahraich(142),Barabanki(160)
Bahraich(142),Lakhimpur Kheri(485)
Bahraich(142),Gonda(329)
Baksa(143),Nalbari(558)
Baksa(143),Darrang(256)
Baksa(143),Barpeta(167)
Baksa(143),Udalguri(772)
Baksa(143),Kamrup(415)
Baksa(143),Chirang(234)
Balaghat(144),Bhandara(183)
Balaghat(144),Kabeerdham(404)
Balaghat(144),Seoni(685)
Balaghat(144),Mandla(522)
Balaghat(144),Rajnandgaon(639)
Balaghat(144),Gondia(330)
Balaghat(144),Nagpur(555)
Balangir(145),Nuapada(582)
Balangir(145),Kalahandi(409)
Balangir(145),Bargarh(164)
Balangir(145),Kandhamal(418)
Balangir(145),Boudh(204)
Balangir(145),Subarnapur(733)
Balasore(146),Jhargram(392)
Balasore(146),Purba 
 Medinipur(624)
Balasore(146),Mayurbhanj(528)
Balasore(146),Paschim Medinipur(599)
Balasore(146),Kendujhar(442)
Balasore(146),Bhadrak(181)
Ballari(147),Raichur(630)
Ballari(147),Gadag(309)
Ballari(147),Kurnool(479)
Ballari(147),Koppal(467)
Ballari(147),HAVERI(340)
