districtid,timeid,neighbormean,neighborstdev
475,1,9086.33,12856.66
476,1,1376.43,975.58
477,1,395.20,399.92
478,1,2658.50,465.98
479,1,17456.38,16431.37
480,1,3721.20,2224.25
481,1,4968.60,3163.99
482,1,1397.50,470.59
483,1,747.86,596.30
484,1,1764.14,2458.46
485,1,2753.40,581.93
486,1,6439.83,7934.78
487,1,1200.38,1489.66
488,1,2369.14,3594.23
489,1,5899.00,2177.26
490,1,75.00,63.64
491,1,659.50,921.36
492,1,177.00,65.09
493,1,4179.67,5432.09
494,1,843.60,1422.66
495,1,1889.00,3356.38
496,1,735.50,1301.29
497,1,190.29,179.37
498,1,474.25,804.98
499,1,2673.60,901.82
500,1,2264.57,2411.57
501,1,176.50,300.44
502,1,6956.20,8458.72
503,1,3773.00,1282.70
504,1,2919.00,493.03
505,1,9128.60,3910.80
506,1,2062.67,1012.05
507,1,3138.00,4655.68
508,1,5079.75,3702.61
509,1,3862.00,5786.48
510,1,5339.50,1607.25
511,1,3969.12,4207.33
512,1,1033.83,411.96
513,1,1803.00,1981.16
514,1,1688.00,493.87
515,1,3252.80,2598.44
516,1,4026.20,2149.85
517,1,3185.60,1519.59
518,1,22300.60,29431.05
519,1,837.33,622.06
520,1,1331.83,902.64
521,1,727.83,520.56
522,1,1222.80,1969.79
523,1,1995.00,2079.06
525,1,1870.40,732.62
526,1,2532.00,1757.82
527,1,5121.40,3082.39
528,1,3087.17,2938.87
529,1,4077.50,2558.81
530,1,12264.67,20442.55
531,1,3047.17,2993.89
532,1,6562.83,12648.46
533,1,3844.14,4453.25
534,1,4487.50,4242.39
535,1,1107.20,2065.00
536,1,184.50,198.84
537,1,2573.50,1180.70
538,1,2860.75,1993.44
539,1,2123.00,2074.66
540,1,6938.83,12615.35
541,1,43102.29,71309.17
542,1,153706.00,0.00
543,1,900.83,892.85
544,1,3206.17,1985.80
545,1,3360.83,1561.77
546,1,3204.83,2012.68
547,1,3284.12,1374.31
548,1,1187.60,1151.27
549,1,1334.00,1366.32
550,1,13042.25,16196.08
551,1,1179.57,995.47
552,1,6515.25,5423.75
553,1,19254.29,19172.67
554,1,6131.57,4701.33
555,1,1921.86,2037.93
556,1,1655.40,1645.76
557,1,5939.00,8094.95
558,1,2132.67,2139.15
559,1,11255.60,16300.79
560,1,6517.75,4778.07
