districtid,timeid,statemean,statestdev
110,16,10.58,16.83
110,17,19.31,32.19
110,18,26.72,35.13
110,19,39.61,58.24
110,20,48.00,58.09
110,21,61.61,80.46
110,22,63.22,91.72
110,23,69.09,100.97
110,24,74.69,98.12
111,1,0.05,0.21
111,2,0.14,0.35
111,3,0.23,0.43
111,4,0.00,0.00
111,5,0.00,0.00
111,6,0.00,0.00
111,7,0.00,0.00
111,8,5.50,13.97
111,9,6.18,13.97
111,10,6.00,10.06
111,11,14.50,19.49
111,12,15.64,22.83
111,13,20.55,36.84
111,14,18.73,30.31
111,15,25.23,42.04
111,16,33.77,61.64
111,17,61.59,108.34
111,18,99.82,169.03
111,19,108.91,179.28
111,20,116.14,187.03
111,21,132.55,185.38
111,22,138.27,179.60
111,23,144.36,139.97
111,24,128.82,128.54
112,1,0.02,0.14
112,2,0.12,0.33
112,3,0.12,0.33
112,4,0.39,0.49
112,5,0.35,0.48
112,6,0.31,0.68
112,7,2.35,5.51
112,8,2.65,8.11
112,9,4.61,12.18
112,10,4.96,12.88
112,11,5.65,13.82
112,12,5.27,9.15
112,13,4.35,11.65
112,14,3.61,6.61
112,15,3.90,7.49
112,16,6.84,13.55
112,17,10.96,21.76
112,18,13.65,25.35
112,19,14.04,28.32
112,20,16.90,31.40
112,21,17.96,31.84
112,22,20.24,32.60
112,23,24.06,38.32
112,24,27.69,45.40
113,1,0.08,0.29
113,2,0.17,0.39
113,3,0.33,0.49
113,4,0.33,0.49
113,5,0.25,0.45
113,6,0.17,0.39
113,7,0.17,0.39
113,8,0.50,1.17
113,9,0.58,1.16
113,10,7.50,15.15
113,11,4.00,3.74
113,12,6.67,5.68
113,13,3.58,2.50
113,14,1.83,1.47
113,15,1.33,0.78
113,16,1.75,1.60
113,17,1.17,0.72
113,18,5.25,8.41
113,19,11.25,15.77
113,20,6.25,8.61
113,21,24.42,44.33
113,22,27.00,38.39
113,23,38.67,47.03
113,24,54.33,66.43
114,1,0.09,0.30
114,2,0.31,0.47
114,3,0.47,0.51
114,4,0.56,0.50
114,5,0.50,0.51
114,6,0.66,0.48
114,7,2.03,5.82
114,8,2.53,5.55
114,9,2.44,2.47
114,10,3.91,5.13
114,11,7.50,10.29
114,12,7.91,14.68
114,13,8.47,14.77
114,14,9.31,12.53
114,15,5.41,9.71
114,16,9.22,10.17
114,17,12.81,23.30
114,18,16.47,25.12
114,19,23.31,48.08
114,20,27.56,34.48
114,21,31.41,44.48
114,22,22.59,25.96
114,23,27.62,26.25
114,24,24.50,34.36
115,1,0.24,0.44
115,2,0.19,0.40
115,3,0.52,0.51
115,4,0.57,0.51
115,5,0.52,0.51
115,6,0.33,0.48
115,7,1.29,2.35
115,8,2.05,3.46
115,9,2.29,2.95
115,10,2.71,3.41
115,11,12.05,34.03
115,12,10.76,13.36
115,13,13.48,30.21
115,14,19.05,27.73
115,15,23.14,43.08
115,16,23.90,41.42
115,17,21.76,28.24
115,18,31.29,35.31
115,19,37.52,49.36
115,20,36.19,43.19
115,21,40.71,40.56
115,22,36.81,31.75
115,23,51.81,37.33
115,24,62.57,45.79
116,1,0.07,0.25
116,2,0.12,0.33
116,3,0.34,0.48
116,4,0.46,0.50
116,5,0.47,0.58
116,6,0.54,0.60
116,7,2.57,5.12
116,8,2.89,5.74
116,9,3.42,4.49
116,10,5.92,8.20
116,11,4.68,6.60
116,12,5.82,5.98
116,13,8.09,10.06
116,14,8.00,10.74
116,15,9.01,16.90
116,16,10.58,16.83
116,17,19.54,32.12
116,18,27.15,35.03
116,19,40.09,58.11
116,20,48.49,57.91
116,21,62.61,80.48
116,22,64.07,91.72
116,23,69.91,101.01
116,24,75.93,97.93
117,1,0.07,0.25
117,2,0.12,0.33
117,3,0.34,0.48
117,4,0.46,0.50
117,5,0.47,0.58
117,6,0.54,0.60
117,7,2.57,5.12
117,8,2.86,5.75
117,9,3.41,4.50
117,10,5.85,8.19
117,11,4.16,4.81
117,12,5.69,5.92
117,13,8.11,10.05
117,14,7.88,10.78
117,15,9.01,16.90
117,16,10.66,16.80
117,17,19.53,32.13
117,18,27.05,35.09
117,19,40.01,58.15
117,20,48.51,57.89
117,21,62.46,80.54
117,22,63.85,91.78
117,23,70.31,100.84
117,24,75.88,97.96
118,1,0.20,0.41
118,2,0.34,0.48
118,3,0.51,0.51
118,4,0.51,0.51
118,5,0.51,0.51
118,6,23.23,102.05
118,7,23.09,92.44
118,8,33.83,124.82
118,9,46.29,158.78
118,10,76.03,274.11
118,11,83.89,265.59
118,12,78.14,233.00
118,13,99.43,274.87
118,14,111.03,287.63
118,15,184.11,471.03
118,16,201.60,472.47
118,17,232.26,553.64
118,18,236.37,549.50
118,19,263.29,591.79
118,20,272.00,509.72
118,21,362.97,558.74
118,22,366.63,579.25
118,23,411.03,598.40
118,24,461.66,712.99
119,1,0.18,0.39
119,2,0.21,0.41
119,3,0.26,0.45
119,4,0.44,0.50
119,5,0.59,0.50
119,6,0.79,0.41
119,7,9.79,42.65
119,8,12.29,47.92
119,9,24.26,121.16
119,10,12.74,47.30
119,11,13.03,48.97
119,12,15.26,51.05
119,13,15.44,59.21
119,14,16.09,54.45
119,15,17.79,46.55
119,16,21.18,51.15
119,17,25.15,53.96
119,18,28.03,55.36
119,19,32.12,54.47
119,20,33.06,50.55
119,21,31.41,48.32
119,22,31.44,49.50
119,23,15.50,13.87
119,24,36.97,56.76
120,1,0.14,0.36
120,2,0.24,0.44
120,3,0.38,0.50
120,4,0.67,0.48
120,5,0.48,0.51
120,6,0.33,0.48
120,7,5.48,8.57
