timeid,method,spot,districtid1,districtid2,districtid3,disxtrictid4,districtid5
1,neighborhood,hot,420,104,430,319,313,594
1,state,hot,228,297,361,432,319,537
1,neighborhood,cold,463,793,474,482,485
1,state,cold,463,448,491,366,510
2,neighborhood,hot,698,479,605,385,260,669
2,state,hot,260,605,463,624,550,366
2,neighborhood,cold,499,361,366,424,432
2,state,cold,221,580,106,448,587
3,neighborhood,hot,647,771,182,484,533,616
3,state,hot,352,647,365,776,446,539
3,neighborhood,cold,464,505,494,474,469
3,state,cold,494,363,430,469,580
4,neighborhood,hot,647,205,555,638,175,424
4,state,hot,275,341,717,570,173,647
4,neighborhood,cold,819,304,300,531,542
4,state,cold,469,221,491,618,819
5,neighborhood,hot,499,112,638,329,533,325
5,state,hot,499,448,146,371,112,275
5,neighborhood,cold,231,706,505,321,691
5,state,cold,221,292,469,430,491
6,neighborhood,hot,358,714,194,371,563,647
6,state,hot,542,358,714,260,556,371
6,neighborhood,cold,631,134,105,253,230
6,state,cold,462,651,489,353,375
7,neighborhood,hot,359,397,104,369,191,120
7,state,hot,104,361,542,202,103,397
7,neighborhood,cold,673,345,646,806,179
7,state,cold,372,500,618,676,336
8,neighborhood,hot,739,369,191,104,790,491
8,state,hot,361,104,404,542,316,369
8,neighborhood,cold,594,300,426,307,500
8,state,cold,801,289,359,307,306
9,neighborhood,hot,104,361,739,191,646,525
9,state,hot,361,104,130,383,542,463
9,neighborhood,cold,819,154,129,793,675
9,state,cold,289,819,810,614,731
10,neighborhood,hot,104,191,790,739,361,556
10,state,hot,361,104,556,542,416,365
10,neighborhood,cold,538,700,208,727,657
10,state,cold,614,731,289,581,782
11,neighborhood,hot,572,104,739,191,117,341
11,state,hot,361,104,337,542,365,117
11,neighborhood,cold,625,714,620,121,546
11,state,cold,241,164,528,442,125
12,neighborhood,hot,699,739,104,790,572,361
12,state,hot,361,104,699,315,228,542
12,neighborhood,cold,558,671,120,782,207
12,state,cold,614,800,819,731,789
13,neighborhood,hot,104,228,416,361,457,191
13,state,hot,228,361,104,709,239,416
13,neighborhood,cold,111,597,308,130,314
13,state,cold,659,747,113,614,801
14,neighborhood,hot,104,228,639,432,596,223
14,state,hot,618,361,228,104,727,365
14,neighborhood,cold,221,501,323,673,671
14,state,cold,246,801,362,731,455
15,neighborhood,hot,416,743,191,228,104,361
15,state,hot,361,228,416,427,743,113
15,neighborhood,cold,427,702,538,527,376
15,state,cold,731,801,336,730,660
16,neighborhood,hot,416,361,739,191,289,396
16,state,hot,416,361,618,251,228,315
16,neighborhood,cold,727,806,700,301,427
16,state,cold,810,800,362,807,801
17,neighborhood,hot,416,191,361,499,739,365
17,state,hot,416,361,292,315,228,251
17,neighborhood,cold,510,464,151,394,757
17,state,cold,362,819,326,450,816
18,neighborhood,hot,361,437,739,191,365,790
18,state,hot,361,419,228,604,753,618
18,neighborhood,cold,727,221,427,472,481
18,state,cold,406,782,822,225,727
19,neighborhood,hot,292,739,366,228,521,499
19,state,hot,292,361,647,315,106,499
19,neighborhood,cold,221,274,727,646,116
19,state,cold,614,819,662,237,782
20,neighborhood,hot,228,239,634,739,424,292
20,state,hot,292,732,361,596,604,228
20,neighborhood,cold,478,221,427,481,745
20,state,cold,282,801,451,342,813
21,neighborhood,hot,739,647,191,499,197,324
21,state,hot,251,427,292,732,604,499
21,neighborhood,cold,693,700,410,221,254
21,state,cold,474,224,731,693,143
22,neighborhood,hot,634,555,366,499,739,548
22,state,hot,427,634,499,228,279,361
22,neighborhood,cold,693,410,266,132,407
22,state,cold,246,474,819,451,483
23,neighborhood,hot,399,277,213,785,725,817
23,state,hot,292,817,499,228,732,622
23,neighborhood,cold,427,129,699,700,583
23,state,cold,282,474,583,389,381
24,neighborhood,hot,399,228,277,499,292,739
24,state,hot,458,106,634,228,604,499
24,neighborhood,cold,427,221,510,443,434
24,state,cold,474,731,807,583,389
