districtid,timeid,statemean,statestdev
132,6,628.02,1041.57
132,7,154.24,250.08
133,1,1.20,5.24
133,2,28.32,66.96
133,3,78.99,76.88
133,4,207.32,276.77
133,5,833.86,1035.16
133,6,1948.11,2613.54
133,7,393.43,548.37
134,1,0.54,1.48
134,2,10.70,17.94
134,3,86.32,50.69
134,4,162.81,90.83
134,5,1088.92,1270.58
134,6,2259.41,1932.28
134,7,250.68,215.49
135,1,7.77,24.41
135,2,286.60,1179.72
135,3,1592.97,5686.78
135,4,2949.97,8024.06
135,5,6813.71,15173.87
135,6,10310.49,16251.28
135,7,2563.54,3727.32
136,1,1.20,5.24
136,2,28.45,66.92
136,3,77.73,77.09
136,4,206.14,277.15
136,5,825.01,1037.23
136,6,1930.00,2616.88
136,7,389.42,548.42
137,1,1.20,5.24
137,2,28.35,66.95
137,3,78.07,77.19
137,4,206.51,277.07
137,5,827.50,1037.23
137,6,1929.03,2616.79
137,7,393.05,548.47
138,1,0.93,3.01
138,2,11.10,22.77
138,3,66.33,84.26
138,4,300.18,689.72
138,5,2721.82,7955.26
138,6,5457.70,11604.31
138,7,1170.22,2461.27
139,1,0.93,3.01
139,2,10.40,22.66
139,3,65.10,84.87
139,4,297.43,690.72
139,5,2684.55,7964.67
139,6,5344.32,11635.67
139,7,1153.55,2467.02
140,1,0.50,1.45
140,2,3.92,6.73
140,3,69.50,78.15
140,4,158.92,133.60
140,5,356.92,433.05
140,6,1039.33,1121.15
140,7,342.00,319.83
141,1,1.19,5.24
141,2,28.27,66.97
141,3,78.88,76.96
141,4,205.31,277.18
141,5,832.59,1035.82
141,6,1955.12,2609.68
141,7,395.76,547.32
142,1,1.20,5.24
142,2,28.34,66.96
142,3,78.22,77.19
142,4,207.81,276.50
142,5,832.20,1035.99
142,6,1937.58,2616.64
142,7,394.12,548.14
143,1,0.03,0.17
143,2,1.24,2.09
143,3,39.09,62.64
143,4,109.64,230.67
143,5,898.73,2342.00
143,6,1375.45,2515.37
143,7,182.85,641.39
144,1,1.25,6.26
144,2,50.14,211.77
144,3,107.04,312.80
144,4,107.31,248.99
144,5,355.08,638.93
144,6,627.47,1041.83
144,7,154.02,250.16
145,1,0.14,0.58
145,2,4.76,10.90
145,3,59.48,84.79
145,4,172.86,212.15
145,5,847.28,1692.11
145,6,2422.62,2547.85
145,7,570.07,722.00
146,1,0.14,0.58
146,2,4.07,10.53
146,3,57.69,83.75
146,4,169.55,212.48
146,5,834.24,1695.38
146,6,2376.90,2554.05
146,7,557.76,726.10
147,1,0.85,2.99
147,2,10.85,22.83
147,3,65.45,84.77
147,4,280.52,686.72
147,5,2582.60,7952.89
147,6,5084.25,11531.53
147,7,1118.65,2463.70
148,1,1.20,5.24
148,2,28.46,66.91
148,3,78.57,77.12
148,4,207.30,276.78
148,5,815.85,1033.32
148,6,1927.76,2616.63
148,7,393.32,548.40
149,1,0.04,0.19
149,2,1.15,5.20
149,3,15.89,18.07
149,4,86.74,93.85
149,5,232.67,496.31
149,6,813.70,1604.21
149,7,420.26,811.28
150,1,0.04,0.19
150,2,1.15,5.20
150,3,16.15,18.18
150,4,79.07,90.43
150,5,229.04,497.35
150,6,808.00,1605.83
150,7,422.15,810.87
151,1,1.20,5.24
151,2,28.45,66.92
151,3,78.72,77.06
151,4,207.82,276.49
151,5,834.80,1034.61
151,6,1949.43,2612.92
151,7,394.78,547.85
152,1,0.04,0.19
152,2,1.15,5.20
152,3,16.30,18.20
152,4,83.15,94.54
152,5,232.00,496.56
152,6,820.81,1601.37
152,7,427.67,808.95
153,1,0.04,0.19
153,2,1.15,5.20
153,3,16.33,18.20
153,4,86.19,94.22
153,5,231.44,496.75
153,6,815.15,1603.71
153,7,426.81,809.32
154,1,2.06,4.64
154,2,126.24,520.27
154,3,361.79,1567.22
154,4,460.74,1568.16
154,5,830.38,1648.61
154,6,1015.41,1582.11
154,7,189.76,295.21
155,1,1.20,5.24
155,2,28.41,66.94
155,3,78.97,76.89
155,4,208.08,276.32
155,5,833.72,1035.25
155,6,1950.96,2612.14
155,7,394.54,547.97
156,1,2.16,6.03
156,2,23.37,29.88
156,3,95.37,85.96
156,4,258.11,213.25
156,5,653.84,829.89
156,6,836.42,1038.81
156,7,231.21,367.79
157,1,0.54,1.48
157,2,10.84,17.90
157,3,85.14,50.66
157,4,163.76,90.56
157,5,1097.76,1266.67
157,6,2278.65,1923.32
157,7,253.57,214.70
158,1,0.95,2.06
158,2,0.00,0.00
158,3,228.14,447.79
158,4,583.55,909.22
158,5,2324.77,3994.97
158,6,4125.23,4932.94
158,7,654.95,753.82
159,1,2.22,5.42
159,2,74.34,177.42
159,3,192.69,262.60
159,4,283.00,375.01
