districtid,timeid,statemean,statestdev
331,1,3858.84,3417.06
332,1,3367.47,4241.34
333,1,2121.09,2435.36
334,1,1401.84,2574.15
335,1,37083.50,12875.14
336,1,2797.95,2833.40
337,1,2916.33,2786.28
338,1,1287.29,2484.14
339,1,9728.27,22633.67
340,1,9728.27,22633.67
341,1,2578.39,5669.21
342,1,579.45,475.45
343,1,3500.68,4310.60
344,1,2768.12,3188.06
345,1,3484.97,4318.76
346,1,1399.49,2575.05
347,1,3471.74,4322.27
348,1,1543.75,1716.16
349,1,9484.73,22685.88
350,1,3500.78,4310.53
351,1,9601.35,22674.62
352,1,2074.52,2446.34
353,1,25179.20,44966.17
354,1,3402.76,3553.55
355,1,131.62,208.78
356,1,2581.76,5668.60
357,1,7678.18,10892.14
358,1,1396.98,2575.89
359,1,2840.19,2825.47
360,1,7420.91,10801.99
361,1,2635.66,2278.79
362,1,5917.07,4078.38
363,1,411.20,462.00
364,1,342.67,324.13
365,1,1128.47,1799.10
366,1,1316.24,2533.25
367,1,4069.00,4710.89
368,1,4226.38,9235.94
369,1,2394.34,2683.04
370,1,2767.22,3188.74
371,1,3995.48,4722.96
372,1,2566.90,2610.53
373,1,3490.03,4316.61
374,1,24350.09,45128.06
375,1,25087.43,45011.98
376,1,2739.00,3205.41
377,1,7870.82,10863.47
378,1,1965.16,2141.42
379,1,2926.97,6501.79
380,1,2143.48,2422.08
381,1,3892.81,3401.24
382,1,4253.88,9228.85
383,1,1536.85,2960.76
384,1,1574.44,2954.30
385,1,3457.01,4322.54
386,1,4274.97,9221.51
387,1,3871.97,3412.52
388,1,1394.59,2576.57
389,1,3469.67,3527.26
390,1,2725.59,3210.34
391,1,3445.74,4320.17
392,1,8044.45,10766.63
393,1,4090.90,4700.39
394,1,2746.62,3201.75
395,1,3497.57,3507.54
396,1,442.47,457.61
397,1,2372.41,2594.03
398,1,4239.66,9232.87
399,1,2482.88,5657.43
400,1,2967.26,6499.52
401,1,9728.27,22633.67
402,1,6049.57,3897.48
403,1,9728.27,22633.67
404,1,1574.48,2954.29
405,1,3902.16,3394.54
406,1,3471.05,3526.41
407,1,437.27,460.87
408,1,9409.77,22679.80
409,1,4091.97,4699.80
410,1,8033.86,10774.49
411,1,12137.41,22698.19
412,1,4227.41,9235.73
413,1,440.67,458.86
414,1,222.73,351.35
415,1,2488.76,5659.79
416,1,1643.70,1825.33
417,1,11830.78,22691.70
418,1,4063.93,4712.87
419,1,428.80,464.00
420,1,543.91,452.55
421,1,3486.14,4318.31
422,1,5749.36,4200.74
423,1,3492.69,4315.30
424,1,3285.05,4033.77
425,1,12047.68,22713.03
426,1,2859.05,2817.21
427,1,5195.67,8042.60
428,1,2762.22,3192.32
429,1,2608.70,5661.15
430,1,1682.00,0.00
431,1,2591.52,5666.42
432,1,4130.16,9238.80
433,1,3359.95,3555.04
434,1,12271.95,22649.93
435,1,5629.29,4220.57
436,1,3496.82,4313.01
437,1,2168.37,2230.01
438,1,3808.76,3416.26
439,1,1398.75,2575.31
440,1,3496.07,4313.45
441,1,4072.31,4709.51
442,1,4066.14,4712.03
443,1,3875.41,3411.00
444,1,4184.69,9241.37
445,1,1389.41,2577.63
446,1,1373.75,2577.48
447,1,2993.32,6493.25
448,1,3434.59,3481.10
449,1,1914.14,1506.73
450,1,2126.52,2432.62
451,1,628.09,448.44
452,1,451.11,655.17
453,1,3876.05,3410.70
454,1,2627.85,5653.11
455,1,2205.42,2203.55
456,1,9686.70,22650.39
457,1,2089.78,2445.20
458,1,314.22,593.94
459,1,2615.48,5658.57
460,1,9630.52,22667.86
461,1,109.25,212.29
462,1,24506.71,45140.78
463,1,6131.86,7671.67
464,1,5697.21,4216.15
465,1,4286.94,9216.62
466,1,1579.04,2952.56
467,1,9539.45,22683.74
468,1,4008.24,4723.41
469,1,1558.59,2958.72
470,1,1575.07,2954.08
471,1,2589.75,3152.16
472,1,5715.43,4211.96
473,1,5587.00,4214.39
474,1,38867.42,11392.03
475,1,12253.65,22658.33
476,1,2118.53,2244.85
477,1,611.00,465.81
478,1,2102.58,2244.65
479,1,36369.00,12444.60
480,1,3430.86,3546.09
481,1,3461.96,4322.87
482,1,2982.24,6496.38
483,1,636.73,436.04
484,1,2584.91,5667.96
485,1,3474.58,4321.77
486,1,3887.81,3404.40
487,1,3488.54,4317.29
488,1,2118.35,2436.62
489,1,24951.46,45067.04
490,1,128.00,211.02
491,1,1311.00,0.00
492,1,220.18,352.79
493,1,2133.78,2428.48
494,1,216.00,354.19
495,1,220.82,352.47
496,1,219.50,353.10
497,1,217.18,353.92
498,1,220.14,352.81
499,1,3084.43,2788.05
500,1,2372.05,1968.39
501,1,116.88,213.82
502,1,9728.27,22633.67
503,1,3876.16,3410.65
504,1,3802.81,3414.26
505,1,11924.30,22710.83
506,1,4240.88,9232.55
507,1,4229.75,9235.22
508,1,3466.19,4322.82
509,1,1564.19,2957.44
510,1,5499.33,7764.59
511,1,3440.14,3542.49
512,1,3004.32,6489.46
513,1,3502.74,4309.20
514,1,3487.30,4317.83
515,1,2622.85,5655.43
516,1,5317.07,4008.40
517,1,7824.09,10877.99
518,1,4058.79,4714.70
519,1,127.75,211.15
520,1,4231.72,9234.78
521,1,596.82,473.62
522,1,1403.51,2573.44
523,1,1391.06,2577.35
524,1,9564.62,22680.89
525,1,2892.43,2795.32
526,1,3475.31,4321.63
527,1,3486.81,4318.03
528,1,3986.24,4721.95
529,1,4253.09,9229.09
530,1,4055.66,9217.54
531,1,3443.59,4319.47
532,1,2973.00,6498.46
533,1,3486.59,4318.12
534,1,2853.00,2820.18
535,1,449.56,656.32
536,1,417.44,670.47
537,1,3433.00,4314.80
538,1,2992.53,6493.49
539,1,1366.94,2575.84
540,1,2608.61,5661.19
541,1,4273.66,9222.02
542,1,20836.49,39152.07
543,1,1579.41,2952.41
544,1,3872.51,3412.29
545,1,7889.77,10856.20
546,1,3475.99,4321.48
547,1,3763.62,3390.89
548,1,9193.65,22603.82
549,1,4098.97,4695.72
550,1,7859.41,10867.46
551,1,2491.03,5660.65
552,1,12234.70,22666.42
553,1,4251.44,9229.59
554,1,2703.41,3214.30
555,1,24192.69,45094.96
556,1,1725.75,2004.85
