districtid,timeid,neighbormean,neighborstdev
133,3,68.25,63.98
133,4,91.00,50.34
133,5,1103.25,813.64
133,6,1720.00,842.35
133,7,173.00,61.65
134,1,1.80,2.95
134,2,54.20,80.65
134,3,352.20,392.02
134,4,1339.80,1474.57
134,5,4854.20,4146.19
134,6,12755.80,9459.78
134,7,2497.00,1774.63
136,1,0.00,0.00
136,2,4.83,8.98
136,3,110.00,45.46
136,4,126.33,47.25
136,5,453.33,255.83
136,6,1419.83,696.71
136,7,252.33,128.43
137,1,0.17,0.41
137,2,3.17,2.79
137,3,90.50,50.41
137,4,182.17,112.96
137,5,831.17,629.34
137,6,2253.33,2428.32
137,7,388.00,458.34
138,1,0.40,0.89
138,2,4.40,7.80
138,3,68.20,90.62
138,4,159.80,128.14
138,5,983.80,619.23
138,6,3177.00,2224.19
138,7,687.20,457.48
140,1,0.00,0.00
140,2,0.33,0.58
140,3,32.00,26.29
140,4,72.67,35.95
140,5,74.00,54.11
140,6,240.00,38.11
140,7,99.33,69.26
141,1,5.17,7.14
141,2,36.50,27.11
141,3,149.17,130.55
141,4,551.67,498.93
141,5,1324.00,1098.72
141,6,1891.17,999.20
141,7,570.67,221.28
142,1,0.20,0.45
142,2,6.20,7.85
142,3,65.00,54.16
142,4,75.00,63.54
142,5,444.00,262.11
142,6,1671.00,733.59
142,7,272.40,148.00
143,1,0.00,0.00
143,2,0.67,1.21
143,3,30.00,21.80
143,4,77.83,53.98
143,5,535.17,375.52
143,6,904.50,1052.41
143,7,62.33,152.68
144,1,1.86,4.49
144,2,17.71,46.43
144,3,84.43,156.06
144,4,191.00,319.79
144,5,611.14,1223.33
144,6,3880.86,8536.64
144,7,1521.29,2965.88
145,1,0.00,0.00
145,2,0.33,0.82
145,3,17.83,11.51
145,4,66.17,55.18
145,5,167.67,131.18
145,6,985.00,624.37
145,7,337.00,270.67
146,1,0.67,1.21
146,2,3.17,7.28
146,3,43.33,34.70
146,4,168.50,112.40
146,5,571.83,401.29
146,6,2421.17,1638.12
146,7,611.50,390.35
147,1,0.38,0.74
147,2,56.25,134.38
147,3,116.38,120.24
147,4,407.12,554.48
147,5,4298.25,6041.55
147,6,9766.62,10964.80
147,7,1504.62,1207.77
148,1,0.71,1.89
148,2,12.71,14.65
148,3,69.86,29.67
148,4,166.57,83.19
148,5,958.86,351.37
148,6,1933.43,632.45
148,7,213.71,98.16
149,1,0.00,0.00
149,2,0.00,0.00
149,3,17.00,13.88
149,4,108.00,109.45
149,5,296.00,234.01
149,6,1154.25,1010.75
149,7,653.75,575.86
150,1,0.00,0.00
150,2,0.14,0.38
150,3,28.86,26.95
150,4,130.00,101.38
150,5,511.71,943.06
150,6,1790.86,2947.21
150,7,943.86,1449.03
151,1,0.00,0.00
151,2,2.33,2.52
151,3,66.33,45.24
151,4,91.33,56.76
151,5,396.00,255.18
151,6,1259.33,689.95
151,7,162.33,78.23
152,1,0.00,0.00
152,2,0.75,1.39
152,3,19.12,17.25
152,4,54.88,49.21
152,5,200.62,161.96
152,6,542.25,294.45
152,7,119.62,57.39
153,1,0.00,0.00
153,2,0.17,0.41
153,3,29.17,27.52
153,4,176.00,101.22
153,5,648.83,986.95
153,6,2177.50,3170.42
153,7,1154.17,1555.07
154,1,0.33,0.52
154,2,5.83,6.62
154,3,108.17,44.15
154,4,152.67,93.95
154,5,465.83,200.77
154,6,481.50,227.45
154,7,77.17,38.48
155,1,0.00,0.00
155,2,0.00,0.00
155,3,23.43,15.70
155,4,46.57,26.26
155,5,203.00,96.69
155,6,366.29,218.74
155,7,86.86,44.28
156,1,5.80,11.32
156,2,42.80,32.87
156,3,121.20,92.87
156,4,456.00,276.88
156,5,1171.20,1537.25
156,6,1578.20,1642.30
156,7,273.60,253.62
157,1,1.00,2.45
157,2,15.83,35.41
157,3,43.67,59.94
157,4,103.67,130.59
157,5,669.33,734.05
157,6,1206.33,910.28
157,7,149.17,122.77
158,1,0.17,0.41
158,2,0.00,0.00
158,3,78.67,106.64
158,4,220.00,268.17
158,5,786.50,851.24
158,6,2332.00,1519.59
158,7,428.83,280.56
159,1,0.83,1.33
159,2,6.00,6.48
159,3,89.83,136.35
159,4,41.50,48.38
159,5,234.17,142.79
159,6,454.17,147.51
159,7,90.50,55.74
160,1,1.14,3.02
160,2,39.00,71.40
160,3,89.14,59.66
160,4,182.43,256.25
160,5,1417.86,2489.08
160,6,4003.43,6740.77
160,7,834.14,1433.22
161,1,7.80,11.14
161,2,49.00,44.48
161,3,111.80,89.90
161,4,292.80,222.82
161,5,1158.40,1528.85
161,6,1674.00,1640.96
161,7,282.20,253.71
162,1,0.40,0.89
162,2,48.20,84.87
162,3,102.80,132.17
162,4,82.60,76.93
162,5,335.20,387.88
162,6,1151.80,1439.36
162,7,294.80,304.07
163,1,0.00,0.00
163,2,9.80,10.03
163,3,63.60,54.83
163,4,130.80,45.83
163,5,671.40,270.90
163,6,1930.20,583.93
163,7,428.20,170.14
164,1,0.00,0.00
164,2,0.14,0.38
164,3,23.14,26.53
164,4,72.00,30.69
164,5,149.71,116.00
164,6,1084.71,746.58
164,7,343.86,172.06
165,1,1.80,2.95
165,2,110.80,219.66
165,3,347.40,410.46
165,4,430.00,522.64
165,5,1374.40,1600.28
165,6,1573.60,2120.56
165,7,277.00,401.26
166,1,0.40,0.89
166,2,17.20,24.26
166,3,67.40,41.52
166,4,229.20,282.96
166,5,696.60,953.48
166,6,2501.20,2943.76
166,7,348.80,293.50
167,1,0.00,0.00
167,2,2.33,2.34
167,3,26.67,25.14
167,4,47.67,53.05
167,5,391.83,340.90
167,6,815.00,1076.91
167,7,127.33,154.07
168,1,0.17,0.41
168,2,32.67,24.81
168,3,143.33,215.79
168,4,683.00,1094.57
168,5,1777.00,2840.02
168,6,4213.33,6292.71
168,7,916.83,1250.37
169,1,0.00,0.00
169,2,0.17,0.41
169,3,4.83,7.91
169,4,28.17,29.01
169,5,281.50,254.96
169,6,1049.83,1011.88
169,7,194.83,163.47
170,1,0.00,0.00
170,2,5.20,9.98
170,3,81.60,28.69
170,4,122.80,44.35
170,5,571.00,289.83
170,6,1402.20,620.91
170,7,230.40,178.47
171,1,0.50,1.22
171,2,5.17,4.26
171,3,37.83,22.83
171,4,48.17,26.33
171,5,168.33,73.52
171,6,848.50,225.31
171,7,223.00,82.88
172,1,1.17,2.86
172,2,10.17,12.34
172,3,85.00,26.37
172,4,213.00,137.89
172,5,1573.83,1415.46
172,6,5443.00,5272.28
172,7,1315.00,1249.70
173,1,2.40,2.88
173,2,26.00,38.39
173,3,102.20,67.27
173,4,243.80,153.54
173,5,2203.40,3257.69
173,6,3576.80,4884.62
173,7,354.80,515.71
175,1,0.33,0.52
175,2,2.17,4.02
175,3,32.67,43.61
175,4,85.50,53.77
175,5,997.50,575.30
175,6,1999.50,1356.45
175,7,545.83,482.54
177,1,0.00,0.00
177,2,2.00,3.46
177,3,12.67,13.87
177,4,129.00,27.73
177,5,1280.33,733.81
177,6,1978.00,724.12
177,7,508.33,235.53
178,1,0.00,0.00
178,2,23.00,19.40
178,3,80.20,105.73
178,4,99.00,137.26
178,5,444.40,577.35
178,6,864.00,1280.28
178,7,163.60,221.24
179,1,0.75,0.96
179,2,18.00,26.72
179,3,105.25,60.70
179,4,228.25,132.68
179,5,1603.25,751.32
179,6,3816.25,2978.21
179,7,770.25,746.82
180,1,0.57,1.51
180,2,15.00,22.63
180,3,30.86,60.77
180,4,267.57,438.64
180,5,4542.29,7694.28
180,6,9837.14,15638.30
180,7,1758.57,2605.99
181,1,0.00,0.00
181,2,14.75,16.64
181,3,119.00,87.97
181,4,180.50,53.76
181,5,548.00,218.73
181,6,1929.25,824.17
181,7,455.00,93.48
182,1,0.75,2.12
182,2,11.75,30.83
182,3,78.12,55.61
182,4,128.88,82.86
182,5,535.62,289.81
182,6,1582.00,1029.40
182,7,166.62,120.88
183,1,2.60,5.27
183,2,25.00,54.79
183,3,113.00,181.25
183,4,214.00,380.65
183,5,835.00,1417.98
183,6,5401.00,9977.00
183,7,2053.80,3467.71
184,1,0.29,0.49
184,2,81.71,166.48
184,3,89.29,144.40
184,4,285.14,207.10
184,5,827.43,1132.82
184,6,1137.86,1255.89
184,7,220.43,192.50
185,1,4.50,5.20
185,2,241.75,266.70
185,3,447.75,509.67
185,4,1148.00,1467.41
185,5,2777.25,3779.36
185,6,2940.75,3459.84
185,7,523.75,625.10
186,1,7.00,12.12
186,2,1007.67,1728.04
186,3,3067.67,5270.94
186,4,2946.33,5011.45
186,5,2039.00,3089.47
186,6,2033.33,2586.47
186,7,339.33,429.24
187,1,0.83,2.04
187,2,49.83,69.92
187,3,121.00,85.08
187,4,100.00,89.97
187,5,388.33,521.74
187,6,767.00,717.17
187,7,172.83,112.66
188,1,0.43,0.79
188,2,68.71,171.27
188,3,105.86,140.36
188,4,209.00,111.78
188,5,931.14,789.36
188,6,1369.43,941.71
188,7,326.71,284.03
189,1,1.43,2.94
189,2,9.43,11.90
189,3,45.14,32.48
189,4,213.86,165.00
189,5,430.14,310.86
189,6,691.71,572.95
189,7,202.00,174.88
190,1,0.83,2.04
190,2,22.33,21.00
190,3,98.33,62.95
190,4,167.33,158.05
190,5,2331.00,2835.68
190,6,3711.67,4249.28
190,7,361.33,451.81
191,1,0.00,0.00
191,2,13.60,23.82
191,3,10.20,4.32
191,4,32.00,32.34
191,5,199.00,81.19
191,6,426.60,142.77
191,7,86.20,42.54
192,1,0.17,0.41
192,2,13.83,16.69
192,3,87.83,84.30
192,4,315.17,417.04
192,5,1583.83,1204.74
192,6,4338.50,2151.50
192,7,1043.17,621.61
193,1,2.21,6.62
193,2,12.43,28.01
193,3,124.00,218.02
193,4,321.57,528.48
193,5,1257.36,1857.59
193,6,2922.71,3800.12
193,7,784.21,1241.35
194,1,2.62,6.63
194,2,33.12,40.35
194,3,119.75,112.16
194,4,228.25,149.81
194,5,797.38,441.25
194,6,1912.88,1076.68
194,7,506.62,203.32
195,1,1.33,2.80
195,2,113.33,195.64
195,3,252.33,395.73
195,4,296.00,480.29
195,5,933.17,1552.52
195,6,1231.83,1999.32
195,7,228.50,372.41
196,1,0.00,0.00
196,2,5.80,6.38
196,3,45.80,40.89
196,4,67.80,44.39
196,5,197.00,197.33
196,6,441.40,257.27
196,7,101.80,53.27
197,1,0.17,0.41
197,2,4.50,11.02
197,3,30.33,25.77
197,4,130.67,116.26
197,5,102.17,66.20
197,6,369.17,173.17
197,7,209.00,142.81
198,1,0.00,0.00
198,2,6.33,14.56
198,3,77.33,86.24
198,4,97.67,86.76
198,5,470.67,307.01
198,6,1807.33,1115.73
198,7,302.50,210.65
199,1,0.00,0.00
199,2,0.00,0.00
199,3,7.00,8.43
199,4,85.80,43.29
199,5,123.20,90.64
199,6,260.80,463.94
199,7,56.80,93.43
200,1,0.00,0.00
200,2,0.33,0.52
200,3,46.33,63.67
200,4,95.00,102.18
200,5,772.67,508.78
200,6,1073.00,850.09
200,7,112.83,130.87
201,1,0.00,0.00
201,2,1.20,1.30
201,3,33.60,25.73
201,4,97.60,19.35
201,5,339.40,132.45
201,6,1495.00,595.13
201,7,332.20,116.23
202,1,0.00,0.00
202,2,1.80,2.49
202,3,34.80,8.58
202,4,99.00,119.64
202,5,316.20,225.35
202,6,386.00,327.22
202,7,0.00,0.00
203,1,7.20,8.76
203,2,618.60,1333.10
203,3,1865.80,4074.30
203,4,1841.00,3852.88
203,5,1852.40,2144.48
203,6,2135.20,1880.75
203,7,403.80,343.53
204,1,0.00,0.00
204,2,0.00,0.00
204,3,37.60,33.07
204,4,84.40,53.28
204,5,277.20,155.53
204,6,1314.00,769.43
204,7,241.00,79.81
205,1,0.88,2.10
205,2,24.00,36.67
205,3,74.25,51.63
205,4,184.50,89.83
205,5,888.25,587.92
205,6,2097.25,1372.93
205,7,424.88,257.07
206,1,4.00,8.78
206,2,17.60,28.69
206,3,96.47,125.60
206,4,286.40,238.28
206,5,1300.40,1470.47
206,6,3339.07,5002.23
206,7,743.07,1253.33
