districtid,timeid,neighbormean,neighborstdev
110,15,22.88,42.00
110,16,18.25,24.36
110,17,22.00,27.40
110,18,27.25,27.00
110,19,34.38,26.21
110,20,30.25,38.65
110,21,22.38,17.32
110,22,37.50,32.79
110,23,41.25,34.92
110,24,38.00,34.03
111,1,0.00,0.00
111,2,0.00,0.00
111,3,0.00,0.00
111,4,0.00,0.00
111,5,0.00,0.00
111,6,0.00,0.00
111,7,0.00,0.00
111,8,0.33,0.58
111,9,0.00,0.00
111,10,0.33,0.58
111,11,20.33,15.31
111,12,7.33,3.51
111,13,17.67,6.66
111,14,5.67,6.43
111,15,4.33,2.31
111,16,1.00,1.00
111,17,17.33,25.01
111,18,22.00,36.39
111,19,64.00,33.60
111,20,81.67,60.25
111,21,66.33,24.01
111,22,41.00,47.47
111,23,47.00,45.57
111,24,68.33,72.86
112,1,0.00,0.00
112,2,0.00,0.00
112,3,0.00,0.00
112,4,0.67,0.52
112,5,0.83,0.41
112,6,1.17,1.47
112,7,1.17,0.75
112,8,0.67,0.52
112,9,3.50,2.43
112,10,3.00,2.10
112,11,2.00,1.26
112,12,1.83,1.47
112,13,2.33,1.21
112,14,3.50,3.83
112,15,4.33,4.50
112,16,6.17,6.24
112,17,4.67,3.93
112,18,8.67,4.89
112,19,11.67,11.64
112,20,16.33,15.28
112,21,38.33,58.23
112,22,22.50,25.45
112,23,33.50,57.04
112,24,24.67,20.04
113,1,0.00,0.00
113,2,0.17,0.41
113,3,0.17,0.41
113,4,0.17,0.41
113,5,0.17,0.41
113,6,0.17,0.41
113,7,0.00,0.00
113,8,0.00,0.00
113,9,0.33,0.52
113,10,11.17,21.61
113,11,3.33,2.73
113,12,4.83,2.40
113,13,4.17,3.06
113,14,1.83,1.72
113,15,1.33,0.82
113,16,2.00,2.00
113,17,1.17,0.41
113,18,1.17,0.41
113,19,4.33,7.23
113,20,8.83,11.32
113,21,3.83,3.37
113,22,13.83,24.01
113,23,18.67,38.40
113,24,14.83,15.35
114,1,0.17,0.41
114,2,0.17,0.41
114,3,0.67,0.52
114,4,0.67,0.52
114,5,0.67,0.52
114,6,0.50,0.55
114,7,3.00,6.39
114,8,6.50,12.03
114,9,3.50,2.95
114,10,5.17,6.85
114,11,10.67,11.22
114,12,18.17,23.94
114,13,11.00,13.93
114,14,12.17,13.35
114,15,16.33,15.20
114,16,16.83,14.66
114,17,12.33,6.47
114,18,21.00,14.89
114,19,38.50,44.71
114,20,34.83,33.10
114,21,31.67,27.66
114,22,25.50,27.40
114,23,43.83,38.44
114,24,50.50,54.73
115,1,0.33,0.52
115,2,0.17,0.41
115,3,0.50,0.55
115,4,0.67,0.52
115,5,0.83,0.41
115,6,0.50,0.55
115,7,4.00,8.37
115,8,0.83,0.75
115,9,2.17,2.48
115,10,0.67,1.21
115,11,1.50,1.38
115,12,4.00,3.35
115,13,3.67,3.93
115,14,6.67,4.50
115,15,2.83,2.71
115,16,2.50,1.76
115,17,13.83,20.63
115,18,18.33,17.60
115,19,19.50,14.50
115,20,37.33,18.13
115,21,60.50,47.44
115,22,70.33,71.92
115,23,101.83,72.11
115,24,98.50,36.31
116,1,0.00,0.00
116,2,0.00,0.00
116,3,0.33,0.52
116,4,0.33,0.52
116,5,0.50,0.55
116,6,0.83,0.41
116,7,1.50,2.74
116,8,1.50,1.38
116,9,2.33,1.97
116,10,9.17,6.88
116,11,7.17,7.19
116,12,4.17,3.19
116,13,4.50,2.59
116,14,5.50,3.99
116,15,7.17,4.17
116,16,7.67,6.77
116,17,23.67,21.69
116,18,21.17,15.64
116,19,54.00,26.09
116,20,52.67,32.88
116,21,91.00,71.20
116,22,101.83,103.19
116,23,101.83,130.73
116,24,102.50,130.34
117,1,0.00,0.00
117,2,0.00,0.00
117,3,0.20,0.45
117,4,0.60,0.55
117,5,0.00,0.00
117,6,0.60,0.55
117,7,0.60,0.89
117,8,0.60,0.55
117,9,3.60,2.70
117,10,15.80,22.43
117,11,3.60,1.67
117,12,2.20,1.30
117,13,7.00,7.00
117,14,3.80,1.10
117,15,6.40,6.23
117,16,5.20,6.42
117,17,12.80,16.08
