timeid,method,spot,districtid
13,neighborhood,hot,537
13,neighborhood,hot,546
13,neighborhood,hot,548
13,neighborhood,cold,552
13,neighborhood,hot,555
13,neighborhood,hot,562
13,neighborhood,hot,572
13,neighborhood,hot,587
13,neighborhood,hot,588
13,neighborhood,cold,597
13,neighborhood,hot,599
13,neighborhood,hot,602
13,neighborhood,hot,605
13,neighborhood,cold,607
13,neighborhood,hot,612
13,neighborhood,cold,624
13,neighborhood,hot,634
13,neighborhood,hot,636
13,neighborhood,hot,638
13,neighborhood,hot,645
13,neighborhood,hot,657
13,neighborhood,hot,661
13,neighborhood,cold,663
13,neighborhood,hot,664
13,neighborhood,hot,671
13,neighborhood,hot,672
13,neighborhood,hot,674
13,neighborhood,cold,677
13,neighborhood,hot,684
13,neighborhood,cold,686
13,neighborhood,hot,696
13,neighborhood,hot,697
13,neighborhood,cold,700
13,neighborhood,hot,705
13,neighborhood,hot,709
13,neighborhood,hot,712
13,neighborhood,hot,715
13,neighborhood,hot,720
13,neighborhood,hot,732
13,neighborhood,cold,736
13,neighborhood,hot,739
13,neighborhood,hot,749
13,neighborhood,cold,753
13,neighborhood,hot,754
13,neighborhood,hot,755
13,neighborhood,hot,759
13,neighborhood,hot,762
13,neighborhood,hot,765
13,neighborhood,hot,767
13,neighborhood,hot,772
13,neighborhood,cold,774
13,neighborhood,hot,782
13,neighborhood,hot,786
13,neighborhood,hot,790
13,neighborhood,hot,793
13,neighborhood,hot,800
13,neighborhood,hot,806
14,neighborhood,cold,102
14,neighborhood,hot,104
14,neighborhood,hot,108
14,neighborhood,cold,109
14,neighborhood,hot,110
14,neighborhood,hot,111
14,neighborhood,hot,113
14,neighborhood,hot,117
14,neighborhood,hot,120
14,neighborhood,hot,123
14,neighborhood,hot,133
14,neighborhood,hot,143
14,neighborhood,hot,146
14,neighborhood,cold,179
14,neighborhood,hot,184
14,neighborhood,hot,191
14,neighborhood,hot,198
14,neighborhood,hot,206
14,neighborhood,cold,221
14,neighborhood,hot,223
14,neighborhood,hot,226
14,neighborhood,hot,228
14,neighborhood,hot,236
14,neighborhood,hot,240
14,neighborhood,hot,247
14,neighborhood,hot,250
14,neighborhood,hot,255
14,neighborhood,cold,260
14,neighborhood,cold,261
14,neighborhood,cold,266
14,neighborhood,cold,273
14,neighborhood,hot,274
14,neighborhood,hot,275
14,neighborhood,hot,277
14,neighborhood,hot,285
14,neighborhood,hot,295
14,neighborhood,cold,299
14,neighborhood,hot,300
14,neighborhood,cold,304
14,neighborhood,cold,306
14,neighborhood,hot,314
14,neighborhood,hot,315
14,neighborhood,hot,322
14,neighborhood,cold,323
14,neighborhood,hot,324
14,neighborhood,hot,329
14,neighborhood,hot,337
14,neighborhood,hot,338
14,neighborhood,hot,341
14,neighborhood,hot,342
14,neighborhood,hot,345
14,neighborhood,cold,350
14,neighborhood,hot,353
14,neighborhood,hot,361
14,neighborhood,cold,362
14,neighborhood,hot,365
14,neighborhood,hot,366
14,neighborhood,hot,372
14,neighborhood,hot,373
14,neighborhood,hot,374
14,neighborhood,hot,376
14,neighborhood,hot,378
14,neighborhood,hot,379
14,neighborhood,hot,382
14,neighborhood,hot,383
14,neighborhood,cold,384
14,neighborhood,hot,385
14,neighborhood,hot,390
14,neighborhood,cold,394
14,neighborhood,hot,397
14,neighborhood,hot,399
14,neighborhood,hot,409
14,neighborhood,hot,416
14,neighborhood,hot,419
14,neighborhood,hot,424
14,neighborhood,hot,429
14,neighborhood,hot,430
14,neighborhood,hot,431
14,neighborhood,hot,432
14,neighborhood,hot,433
14,neighborhood,hot,437
14,neighborhood,hot,442
14,neighborhood,hot,449
14,neighborhood,hot,457
14,neighborhood,hot,473
14,neighborhood,hot,481
14,neighborhood,cold,482
14,neighborhood,hot,485
14,neighborhood,hot,497
14,neighborhood,hot,499
14,neighborhood,cold,501
14,neighborhood,hot,505
14,neighborhood,cold,510
14,neighborhood,hot,511
14,neighborhood,hot,513
14,neighborhood,cold,514
14,neighborhood,hot,517
14,neighborhood,hot,520
14,neighborhood,cold,527
14,neighborhood,hot,537
14,neighborhood,cold,538
14,neighborhood,hot,551
14,neighborhood,hot,555
14,neighborhood,hot,556
14,neighborhood,hot,562
14,neighborhood,hot,563
14,neighborhood,hot,565
14,neighborhood,hot,587
14,neighborhood,hot,592
14,neighborhood,hot,596
14,neighborhood,cold,616
14,neighborhood,hot,618
14,neighborhood,cold,619
14,neighborhood,cold,624
14,neighborhood,hot,639
14,neighborhood,hot,645
14,neighborhood,hot,646
14,neighborhood,cold,653
14,neighborhood,hot,661
14,neighborhood,cold,663
14,neighborhood,hot,669
14,neighborhood,cold,671
14,neighborhood,cold,673
14,neighborhood,hot,676
14,neighborhood,hot,677
14,neighborhood,hot,687
14,neighborhood,cold,689
14,neighborhood,hot,697
14,neighborhood,cold,700
14,neighborhood,hot,706
14,neighborhood,hot,721
14,neighborhood,hot,725
14,neighborhood,hot,727
14,neighborhood,hot,730
14,neighborhood,hot,732
14,neighborhood,hot,739
14,neighborhood,hot,741
14,neighborhood,hot,743
14,neighborhood,hot,747
14,neighborhood,hot,749
14,neighborhood,cold,753
14,neighborhood,hot,755
14,neighborhood,hot,765
14,neighborhood,cold,766
14,neighborhood,hot,767
14,neighborhood,hot,790
14,neighborhood,hot,810
14,neighborhood,hot,812
14,neighborhood,cold,816
15,neighborhood,hot,101
15,neighborhood,hot,104
15,neighborhood,hot,106
15,neighborhood,hot,109
15,neighborhood,cold,111
15,neighborhood,hot,113
15,neighborhood,hot,115
15,neighborhood,cold,116
15,neighborhood,hot,120
15,neighborhood,cold,121
15,neighborhood,hot,123
15,neighborhood,hot,136
15,neighborhood,hot,137
15,neighborhood,hot,143
15,neighborhood,hot,145
15,neighborhood,cold,154
15,neighborhood,hot,161
15,neighborhood,cold,162
15,neighborhood,hot,163
15,neighborhood,cold,164
15,neighborhood,hot,171
15,neighborhood,hot,181
15,neighborhood,hot,184
15,neighborhood,hot,189
15,neighborhood,hot,191
15,neighborhood,hot,198
15,neighborhood,hot,201
15,neighborhood,cold,209
15,neighborhood,hot,218
15,neighborhood,cold,221
15,neighborhood,hot,228
15,neighborhood,hot,238
15,neighborhood,hot,239
15,neighborhood,hot,241
15,neighborhood,hot,242
15,neighborhood,hot,244
15,neighborhood,hot,250
15,neighborhood,hot,255
15,neighborhood,hot,263
15,neighborhood,hot,276
15,neighborhood,hot,289
15,neighborhood,hot,292
15,neighborhood,cold,294
15,neighborhood,cold,298
15,neighborhood,cold,299
15,neighborhood,hot,300
15,neighborhood,hot,306
15,neighborhood,hot,315
15,neighborhood,hot,319
15,neighborhood,hot,328
15,neighborhood,cold,330
15,neighborhood,hot,335
15,neighborhood,cold,336
15,neighborhood,hot,342
15,neighborhood,cold,348
15,neighborhood,hot,361
15,neighborhood,cold,362
15,neighborhood,hot,364
15,neighborhood,hot,365
15,neighborhood,hot,366
15,neighborhood,hot,367
15,neighborhood,hot,372
15,neighborhood,cold,376
15,neighborhood,hot,383
15,neighborhood,hot,384
15,neighborhood,hot,391
15,neighborhood,hot,397
15,neighborhood,hot,399
15,neighborhood,hot,406
15,neighborhood,hot,416
15,neighborhood,hot,424
15,neighborhood,hot,425
15,neighborhood,cold,427
15,neighborhood,hot,430
15,neighborhood,hot,431
15,neighborhood,cold,434
15,neighborhood,cold,441
15,neighborhood,hot,451
15,neighborhood,hot,458
15,neighborhood,hot,462
15,neighborhood,hot,463
15,neighborhood,cold,464
15,neighborhood,cold,468
15,neighborhood,hot,471
15,neighborhood,hot,472
15,neighborhood,hot,473
15,neighborhood,cold,480
15,neighborhood,hot,482
15,neighborhood,hot,489
15,neighborhood,hot,492
15,neighborhood,hot,499
15,neighborhood,hot,505
15,neighborhood,hot,514
15,neighborhood,hot,517
15,neighborhood,cold,527
15,neighborhood,hot,536
15,neighborhood,cold,538
15,neighborhood,hot,539
15,neighborhood,hot,543
15,neighborhood,hot,549
15,neighborhood,hot,551
15,neighborhood,hot,552
15,neighborhood,cold,553
15,neighborhood,cold,572
15,neighborhood,cold,600
15,neighborhood,hot,602
15,neighborhood,cold,603
15,neighborhood,cold,606
15,neighborhood,cold,615
15,neighborhood,hot,617
15,neighborhood,cold,625
15,neighborhood,hot,638
15,neighborhood,cold,641
15,neighborhood,hot,643
15,neighborhood,hot,650
15,neighborhood,hot,652
15,neighborhood,cold,660
15,neighborhood,hot,661
15,neighborhood,cold,662
15,neighborhood,hot,665
15,neighborhood,cold,671
15,neighborhood,hot,673
15,neighborhood,hot,676
15,neighborhood,hot,677
15,neighborhood,hot,678
15,neighborhood,hot,697
15,neighborhood,hot,699
15,neighborhood,cold,700
15,neighborhood,cold,702
15,neighborhood,cold,707
15,neighborhood,cold,710
15,neighborhood,hot,711
15,neighborhood,hot,712
15,neighborhood,hot,721
15,neighborhood,hot,722
15,neighborhood,cold,731
15,neighborhood,hot,732
15,neighborhood,hot,739
15,neighborhood,hot,743
15,neighborhood,hot,749
15,neighborhood,hot,754
15,neighborhood,hot,759
15,neighborhood,hot,765
15,neighborhood,cold,779
15,neighborhood,hot,786
15,neighborhood,hot,790
15,neighborhood,cold,803
15,neighborhood,hot,804
15,neighborhood,hot,815
16,neighborhood,hot,104
16,neighborhood,hot,114
16,neighborhood,hot,115
16,neighborhood,hot,120
16,neighborhood,hot,123
16,neighborhood,hot,125
16,neighborhood,cold,128
16,neighborhood,hot,140
16,neighborhood,hot,145
16,neighborhood,hot,151
16,neighborhood,hot,153
16,neighborhood,hot,161
16,neighborhood,hot,171
16,neighborhood,cold,179
16,neighborhood,hot,182
16,neighborhood,hot,189
16,neighborhood,hot,191
16,neighborhood,cold,192
16,neighborhood,hot,195
16,neighborhood,hot,197
16,neighborhood,cold,211
16,neighborhood,hot,218
16,neighborhood,hot,223
16,neighborhood,hot,228
16,neighborhood,hot,239
16,neighborhood,hot,241
16,neighborhood,hot,243
16,neighborhood,cold,247
16,neighborhood,hot,250
16,neighborhood,hot,255
16,neighborhood,cold,261
16,neighborhood,cold,263
16,neighborhood,hot,268
16,neighborhood,hot,289
16,neighborhood,hot,292
16,neighborhood,cold,298
16,neighborhood,hot,300
16,neighborhood,cold,301
16,neighborhood,hot,302
16,neighborhood,hot,308
16,neighborhood,cold,310
16,neighborhood,hot,315
16,neighborhood,hot,320
16,neighborhood,hot,321
16,neighborhood,hot,328
16,neighborhood,hot,330
16,neighborhood,hot,332
16,neighborhood,cold,348
16,neighborhood,hot,353
16,neighborhood,hot,361
16,neighborhood,cold,362
16,neighborhood,hot,365
16,neighborhood,hot,366
16,neighborhood,cold,370
16,neighborhood,cold,371
16,neighborhood,hot,372
16,neighborhood,hot,374
16,neighborhood,hot,376
16,neighborhood,hot,378
16,neighborhood,hot,384
16,neighborhood,cold,387
16,neighborhood,hot,391
16,neighborhood,hot,396
16,neighborhood,hot,397
16,neighborhood,hot,399
16,neighborhood,hot,416
16,neighborhood,hot,422
16,neighborhood,hot,424
16,neighborhood,cold,427
16,neighborhood,hot,430
16,neighborhood,hot,433
16,neighborhood,hot,437
16,neighborhood,cold,449
16,neighborhood,hot,463
16,neighborhood,hot,471
16,neighborhood,hot,474
16,neighborhood,hot,479
16,neighborhood,hot,484
16,neighborhood,hot,497
16,neighborhood,hot,499
16,neighborhood,hot,500
16,neighborhood,hot,501
16,neighborhood,hot,505
16,neighborhood,hot,506
16,neighborhood,cold,511
16,neighborhood,hot,516
16,neighborhood,hot,517
16,neighborhood,hot,520
16,neighborhood,cold,525
16,neighborhood,hot,528
16,neighborhood,hot,539
16,neighborhood,hot,547
16,neighborhood,hot,549
16,neighborhood,cold,553
16,neighborhood,cold,554
16,neighborhood,hot,555
16,neighborhood,hot,562
16,neighborhood,hot,565
16,neighborhood,cold,574
16,neighborhood,hot,576
16,neighborhood,hot,581
16,neighborhood,cold,583
16,neighborhood,cold,590
16,neighborhood,hot,595
16,neighborhood,cold,600
16,neighborhood,hot,604
16,neighborhood,cold,607
16,neighborhood,hot,608
16,neighborhood,hot,609
16,neighborhood,hot,615
16,neighborhood,hot,617
16,neighborhood,cold,623
16,neighborhood,hot,634
16,neighborhood,cold,636
16,neighborhood,hot,638
16,neighborhood,hot,643
16,neighborhood,cold,645
16,neighborhood,hot,647
16,neighborhood,hot,652
16,neighborhood,cold,663
16,neighborhood,hot,664
16,neighborhood,hot,666
16,neighborhood,hot,669
16,neighborhood,cold,670
16,neighborhood,hot,673
16,neighborhood,hot,677
16,neighborhood,hot,696
16,neighborhood,hot,697
16,neighborhood,hot,699
16,neighborhood,cold,700
16,neighborhood,cold,704
16,neighborhood,cold,720
16,neighborhood,hot,721
16,neighborhood,hot,722
16,neighborhood,hot,725
16,neighborhood,cold,727
16,neighborhood,hot,730
16,neighborhood,hot,736
16,neighborhood,hot,739
16,neighborhood,cold,745
16,neighborhood,hot,749
16,neighborhood,cold,753
16,neighborhood,hot,754
16,neighborhood,hot,756
16,neighborhood,hot,765
16,neighborhood,hot,767
16,neighborhood,cold,774
16,neighborhood,hot,779
16,neighborhood,hot,786
16,neighborhood,hot,790
16,neighborhood,cold,791
16,neighborhood,hot,793
16,neighborhood,hot,804
16,neighborhood,cold,805
16,neighborhood,cold,806
16,neighborhood,hot,808
17,neighborhood,hot,104
17,neighborhood,hot,108
17,neighborhood,hot,109
17,neighborhood,hot,113
17,neighborhood,cold,114
17,neighborhood,hot,115
17,neighborhood,cold,116
17,neighborhood,cold,119
17,neighborhood,hot,120
17,neighborhood,hot,123
17,neighborhood,hot,136
17,neighborhood,hot,145
17,neighborhood,cold,146
17,neighborhood,hot,148
17,neighborhood,hot,150
17,neighborhood,cold,151
17,neighborhood,cold,159
17,neighborhood,hot,163
17,neighborhood,cold,179
17,neighborhood,hot,182
17,neighborhood,hot,191
17,neighborhood,cold,192
17,neighborhood,hot,195
17,neighborhood,cold,205
17,neighborhood,cold,221
17,neighborhood,hot,223
17,neighborhood,cold,225
17,neighborhood,hot,228
17,neighborhood,hot,237
17,neighborhood,hot,239
17,neighborhood,hot,241
17,neighborhood,hot,244
17,neighborhood,hot,248
17,neighborhood,cold,249
17,neighborhood,hot,250
17,neighborhood,cold,254
17,neighborhood,hot,255
17,neighborhood,cold,257
17,neighborhood,cold,263
17,neighborhood,cold,266
17,neighborhood,cold,273
17,neighborhood,hot,285
17,neighborhood,hot,289
17,neighborhood,hot,292
17,neighborhood,hot,295
17,neighborhood,hot,300
17,neighborhood,hot,310
17,neighborhood,hot,315
17,neighborhood,hot,316
17,neighborhood,hot,320
17,neighborhood,hot,321
17,neighborhood,cold,322
17,neighborhood,hot,328
17,neighborhood,hot,332
17,neighborhood,cold,342
17,neighborhood,cold,350
17,neighborhood,cold,352
17,neighborhood,hot,354
17,neighborhood,hot,361
17,neighborhood,cold,362
17,neighborhood,cold,363
17,neighborhood,hot,365
17,neighborhood,hot,366
17,neighborhood,cold,368
17,neighborhood,hot,369
17,neighborhood,cold,370
17,neighborhood,hot,371
